#Time X Y Z(m) dE dN dU(m) RMS Ratio GPS BDS
2390 233923 -2267809.968414062634110 5009324.104202222079039 3221016.698083449155092 -153.741558637991773 1581.686072800592683 -7.770691705761834 35.009 6 10
2390 233924 -2267809.968175034504384 5009324.103330863639712 3221016.699540765490383 -153.741700228042475 1581.684364192902194 -7.770663725493591 36.774 6 10
2390 233925 -2267809.966125291306525 5009324.108736486174166 3221016.699703618418425 -153.737603640416637 1581.686296940463308 -7.774259720478113 30.810 6 10
2390 233926 -2267809.966350880451500 5009324.105083993636072 3221016.698969936463982 -153.739315430347460 1581.685285149350193 -7.771101250058734 42.440 6 10
2390 233927 -2267809.967717861756682 5009324.112823192030191 3221016.702702650334686 -153.737369133199365 1581.685939763880015 -7.779555857662956 30.146 6 10
2390 233928 -2267809.964886139146984 5009324.101663629524410 3221016.698754823766649 -153.739391593060247 1581.683579958179507 -7.767788071293467 51.477 6 10
2390 233929 -2267809.967026290949434 5009324.105877257883549 3221016.699755960609764 -153.739603592282265 1581.685116983815988 -7.772362980821271 58.854 6 10
2390 233930 -2267809.967434048186988 5009324.109627674333751 3221016.700630579143763 -153.738428400027431 1581.686185460988327 -7.775894853807557 27.410 6 10
2390 233931 -2267809.965839757584035 5009324.103576688095927 3221016.698799752630293 -153.739471403680568 1581.684626782636087 -7.769650593413274 38.635 6 10
2390 233932 -2267809.966457562055439 5009324.106994098983705 3221016.698498426005244 -153.738624895860141 1581.686597893343105 -7.772398196798889 40.950 6 10
2390 233933 -2267809.966521766036749 5009324.104638967663050 3221016.698610707651824 -153.739654635246382 1581.685424319308368 -7.770630222353901 37.079 6 10
2390 233934 -2267809.967857332900167 5009324.113124097697437 3221016.701882035005838 -153.737372099376444 1581.686815053646114 -7.779424461446069 22.983 6 10
2390 233935 -2267809.968091650400311 5009324.108658378012478 3221016.702649861108512 -153.739427213379770 1581.684135430407423 -7.776394075389419 44.205 6 10
2390 233936 -2267809.966113996226341 5009324.108625115826726 3221016.703625661786646 -153.737639279357779 1581.682865160318443 -7.776161448644871 45.832 6 10
2390 233937 -2267809.967367759440094 5009324.112191982567310 3221016.700227320194244 -153.737310497462033 1581.687706041965157 -7.777678338049668 32.752 6 10
2390 233938 -2267809.966190039180219 5009324.105931476689875 3221016.698921420145780 -153.738819403734055 1581.685685574983836 -7.771684403713380 31.767 6 10
2390 233939 -2267809.966375435236841 5009324.108202084898949 3221016.700072675477713 -153.738051908114471 1581.685784108900634 -7.774116823027015 36.654 6 10
2390 233940 -2267809.966743440367281 5009324.107467029243708 3221016.700630823615938 -153.738690297141432 1581.685040229011292 -7.773954446622042 37.287 6 10
